	domain	phylum	class	order	family	genus	species	ASV
ASV_1983	Bacteria	Planctomycetota	vadinHA49	vadinHA49	vadinHA49	vadinHA49	vadinHA49	ASV_1983
ASV_1984	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	uncultured	uncultured	uncultured	ASV_1984
ASV_1985	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	unclassified_Root	ASV_1985
ASV_1986	Bacteria	NKB15	NKB15	NKB15	NKB15	NKB15	NKB15	ASV_1986
ASV_1987	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calditrichaceae	Calditrichaceae	ASV_1987
ASV_1988	Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	unclassified_Bacteria	ASV_1988
ASV_1989	Bacteria	Chloroflexi	Dehalococcoidia	DscP2	DscP2	DscP2	DscP2	ASV_1989
ASV_1990	Bacteria	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	BHI80-139	ASV_1990
ASV_1991	Bacteria	Chloroflexi	Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	unclassified_Dehalococcoidia	ASV_1991
ASV_1992	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	WCHB1-41	ASV_1992
