br correction factor,ID,meas_conc,br_corr,real_conc,Concentration_units,Ion,Depth_cm,Station,Core,Real_depth_cm,
0.937662651,124,0,0,0,uM,Nitrate,95,CR04.5,GC06,101,Caltech
0.91286747,100,0.1491,0.163331486,1.633314856,uM,Nitrate,100,CR04.5,GC06,106,Caltech
0.964337349,92,0.1704,0.176701649,1.767016492,uM,Nitrate,105,CR04.5,GC06,111,Caltech
0.94453012,93,0.1365,0.144516302,1.445163019,uM,Nitrate,105,CR04.5,GC06,111,Caltech
0.931156627,94,0.1826,0.196100199,1.961001992,uM,Nitrate,105,CR04.5,GC06,111,Caltech
0.795855422,95,0.1346,0.169126196,1.691261959,uM,Nitrate,105,CR04.5,GC06,111,Caltech
0.851638554,114,0.2476,0.290733667,2.907336673,uM,Nitrate,110,CR04.5,GC06,116,Caltech
0.842409639,98,0.1505,0.178654176,1.786541761,uM,Nitrate,115,CR04.5,GC06,121,Caltech
0.889783133,104,0.2396,0.269279099,2.692790986,uM,Nitrate,120,CR04.5,GC06,126,Caltech
0.981204819,120,0.2136,0.217691552,2.176915521,uM,Nitrate,125,CR04.5,GC06,131,Caltech
0.751493976,122,0.143,0.19028762,1.902876198,uM,Nitrate,130,CR04.5,GC06,136,Caltech
0.914337349,106,0.2111,0.230877586,2.308775861,uM,Nitrate,135,CR04.5,GC06,141,Caltech
0.468819277,105,0.1162,0.247856702,2.478567024,uM,Nitrate,140,CR04.5,GC06,146,Caltech
0.823614458,116,0.1536,0.186495026,1.864950263,uM,Nitrate,145,CR04.5,GC06,151,Caltech
0.920096386,110,0.1583,0.172047192,1.720471925,uM,Nitrate,150,CR04.5,GC06,156,Caltech
0.948385542,96,0.137,0.144456019,1.444560191,uM,Nitrate,155,CR04.5,GC06,161,Caltech
