Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C,Type,Core,Real_depth_cm,Weigh_EA_mg,Amount_ug,Date,Weigh_sample_before_decarb_mg,Weigh_sample_after_decarb_mg
CR03_116,1,23,78.113,76.889,3986,0.897,4650,0.328,5659,-12.014,sample,CR03,116,1.388,,20230126,90,90
CR03_116,2,23.2,78.162,76.937,3988,0.897,4651,0.328,5662,-12.04,sample,CR03,116,1.388,,20230126,90,90
CR03_116,3,81.3,53.11,12.907,417,0.149,481,0.055,587,-24.056,sample,CR03,116,1.388,,20230126,90,90
CR03_116,4,23.2,77.861,76.64,3986,0.894,4649,0.327,5659,-11.936,sample,CR03,116,1.388,,20230126,90,90
CR03_126,1,23.2,78.262,77.035,3990,0.898,4653,0.328,5665,-12.021,sample,CR03,126,1.302,,20230126,70,20
CR03_126,2,23.2,78.195,76.97,3988,0.898,4651,0.328,5663,-12.04,sample,CR03,126,1.302,,20230126,70,20
CR03_126,3,114.3,176.291,173.554,5465,2.002,6326,0.735,7680,-23.555,sample,CR03,126,1.302,,20230126,70,20
CR03_126,4,23,77.899,76.678,3987,0.894,4650,0.327,5661,-11.967,sample,CR03,126,1.302,,20230126,70,20
CR03_141,1,23.2,78.226,76.998,3988,0.899,4658,0.328,5667,-12.056,sample,CR03,141,1.31,,20230126,60,20
CR03_141,2,23.2,78.279,77.05,3983,0.9,4653,0.328,5657,-12.04,sample,CR03,141,1.31,,20230126,60,20
CR03_141,3,105.5,143.695,141.459,4550,1.637,5281,0.599,6395,-21.563,sample,CR03,141,1.31,,20230126,60,20
CR03_141,4,23,77.892,76.669,3986,0.896,4656,0.327,5664,-11.925,sample,CR03,141,1.31,,20230126,60,20
CR03_146,1,23.2,78.265,77.039,3984,0.899,4647,0.328,5657,-12.034,sample,CR03,146,1.295,,20230126,70,25
CR03_146,2,23.2,78.203,76.978,3985,0.898,4647,0.328,5657,-12.04,sample,CR03,146,1.295,,20230126,70,25
CR03_146,3,100.1,94.668,93.197,3011,1.077,3484,0.395,4229,-21.981,sample,CR03,146,1.295,,20230126,70,25
CR03_146,4,23,77.626,76.409,3978,0.891,4641,0.326,5650,-11.896,sample,CR03,146,1.295,,20230126,70,25
MetA,1,23.2,78.25,77.023,3991,0.899,4656,0.328,5668,-11.969,standard,,,,,20230126,,
MetA,2,23.2,78.473,77.242,3992,0.901,4657,0.329,5669,-12.04,standard,,,,,20230126,,
MetA,3,93.8,55.735,54.875,1779,0.627,2035,0.232,2499,-33.09,standard,,,,,20230126,,
MetA,4,23,78.284,77.056,4001,0.899,4668,0.328,5683,-11.981,standard,,,,,20230126,,
MetA,1,23.2,78.213,76.987,3998,0.898,4663,0.328,5677,-11.989,standard,,,,,20230126,,
MetA,2,23.2,78.584,77.352,3999,0.902,4665,0.33,5680,-12.04,standard,,,,,20230126,,
MetA,3,96.8,70.83,69.738,2246,0.797,2570,0.295,3156,-33.32,standard,,,,,20230126,,
MetA,4,23.2,78.146,76.921,3991,0.897,4655,0.328,5668,-12.109,standard,,,,,20230126,,
GluTIS,1,23,78.049,76.826,3988,0.896,4652,0.327,5663,-11.936,standard,,,,,20230126,,
GluTIS,2,23.2,78.123,76.899,3990,0.897,4652,0.328,5664,-12.04,standard,,,,,20230126,,
GluTIS,3,93.4,51.476,50.67,1635,0.591,1908,0.215,2297,-11.758,standard,,,,,20230126,,
GluTIS,4,23,77.855,76.635,3981,0.894,4643,0.327,5653,-11.895,standard,,,,,20230126,,
GluTIS,1,23.2,78.164,76.939,3987,0.897,4650,0.328,5661,-11.957,standard,,,,,20230126,,
GluTIS,2,23.2,78.348,77.12,3987,0.899,4649,0.329,5660,-12.04,standard,,,,,20230126,,
